country,year,sex,age,suicides_no,population,suicides/100kpop,country-year,gdp_for_year,gdp_per_capita,generation,popNorma
Albania,1987,1,2,21,312900,6.71,Albania1987,"2,156,624,900",796,4,0.007136684322515618
Albania,1987,1,4,16,308000,5.19,Albania1987,"2,156,624,900",796,2,0.007024824782303072
Albania,1987,2,2,14,289700,4.83,Albania1987,"2,156,624,900",796,4,0.006607063642325605
Albania,1987,1,6,1,21800,4.59,Albania1987,"2,156,624,900",796,1,0.000491314494786615
Albania,1987,1,3,9,274300,3.28,Albania1987,"2,156,624,900",796,3,0.006255505087371889
Albania,1987,2,6,1,35600,2.81,Albania1987,"2,156,624,900",796,1,0.0008063474855892952
Albania,1987,2,4,6,278800,2.15,Albania1987,"2,156,624,900",796,2,0.006358233236546676
Albania,1987,2,3,4,257200,1.56,Albania1987,"2,156,624,900",796,3,0.005865138120507698
Albania,1987,1,5,1,137500,0.73,Albania1987,"2,156,624,900",796,1,0.0031325693524583624
Albania,1987,2,1,0,311000,0.0,Albania1987,"2,156,624,900",796,4,0.007093310215086263
Albania,1987,2,5,0,144600,0.0,Albania1987,"2,156,624,900",796,1,0.0032946515433785817
Albania,1987,1,1,0,338200,0.0,Albania1987,"2,156,624,900",796,4,0.007714244805653865
Albania,1988,2,6,2,36400,5.49,Albania1988,"2,126,000,000",769,1,0.000824610267664813
Albania,1988,1,2,17,319200,5.33,Albania1988,"2,126,000,000",769,4,0.007280503731360319
Albania,1988,1,6,1,22300,4.48,Albania1988,"2,126,000,000",769,1,0.0005027287335838135
Albania,1988,1,4,14,314100,4.46,Albania1988,"2,126,000,000",769,2,0.007164078495628895
Albania,1988,1,5,4,140200,2.85,Albania1988,"2,126,000,000",769,1,0.0031942062419632344
Albania,1988,2,2,8,295600,2.71,Albania1988,"2,126,000,000",769,4,0.006741751660132547
Albania,1988,2,5,3,147500,2.03,Albania1988,"2,126,000,000",769,1,0.0033608541284023334
Albania,1988,2,3,5,262400,1.91,Albania1988,"2,126,000,000",769,3,0.005983846203998563
Albania,1988,1,3,5,279900,1.79,Albania1988,"2,126,000,000",769,3,0.006383344561900513
Albania,1988,2,4,4,284500,1.41,Albania1988,"2,126,000,000",769,2,0.006488355558834739
Albania,1988,2,1,0,317200,0.0,Albania1988,"2,126,000,000",769,4,0.007234846776171525
Albania,1988,1,1,0,345000,0.0,Albania1988,"2,126,000,000",769,4,0.007869478453295766
Albania,1989,1,6,2,22500,8.89,Albania1989,"2,335,124,988",833,1,0.0005072944291026929
Albania,1989,1,3,18,283600,6.35,Albania1989,"2,335,124,988",833,3,0.006467809928999782
Albania,1989,1,4,15,318400,4.71,Albania1989,"2,335,124,988",833,2,0.007262240949284802
Albania,1989,1,5,6,142100,4.22,Albania1989,"2,335,124,988",833,1,0.003237580349392589
Albania,1989,1,2,12,323500,3.71,Albania1989,"2,335,124,988",833,4,0.007378666185016227
Albania,1989,2,4,7,288600,2.43,Albania1989,"2,335,124,988",833,2,0.006581952316971768
Albania,1989,2,2,5,299900,1.67,Albania1989,"2,335,124,988",833,4,0.006839914113788455
Albania,1989,2,3,2,266300,0.75,Albania1989,"2,335,124,988",833,3,0.006072877266616712
Albania,1989,2,5,1,149600,0.67,Albania1989,"2,335,124,988",833,1,0.0034087939313505672
Albania,1989,2,1,0,321900,0.0,Albania1989,"2,335,124,988",833,4,0.007342140620865192
Albania,1989,2,6,0,37000,0.0,Albania1989,"2,335,124,988",833,1,0.0008383073542214512
Albania,1989,1,1,0,349700,0.0,Albania1989,"2,335,124,988",833,4,0.007976772297989432
Albania,1992,1,4,12,343800,3.49,Albania1992,"709,452,584",251,3,0.00784208428018249
Albania,1992,1,2,9,263700,3.41,Albania1992,"709,452,584",251,4,0.006013523224871279
Albania,1992,1,5,5,159500,3.13,Albania1992,"709,452,584",251,2,0.003634795859535099
Albania,1992,1,3,7,245500,2.85,Albania1992,"709,452,584",251,3,0.0055980449326532514
Albania,1992,2,2,7,292400,2.39,Albania1992,"709,452,584",251,4,0.006668700531830477
Albania,1992,2,3,4,267400,1.5,Albania1992,"709,452,584",251,3,0.0060979885919705485
Albania,1992,2,4,2,323100,0.62,Albania1992,"709,452,584",251,3,0.0073695347939784685
Albania,1992,2,5,1,164900,0.61,Albania1992,"709,452,584",251,2,0.0037580696385448435
Albania,1992,2,1,0,336700,0.0,Albania1992,"709,452,584",251,5,0.0076800020892622695
Albania,1992,2,6,0,38700,0.0,Albania1992,"709,452,584",251,1,0.0008771157661319263
Albania,1992,1,1,0,362900,0.0,Albania1992,"709,452,584",251,5,0.008278108202235474
Albania,1992,1,6,0,23900,0.0,Albania1992,"709,452,584",251,1,0.0005392542977348489
Albania,1993,1,2,18,243300,7.4,Albania1993,"1,228,071,038",437,4,0.005547822281945578
Albania,1993,1,5,7,165000,4.24,Albania1993,"1,228,071,038",437,2,0.003760352486304283
Albania,1993,1,6,1,24200,4.13,Albania1993,"1,228,071,038",437,1,0.000546102841013168
Albania,1993,1,3,9,230100,3.91,Albania1993,"1,228,071,038",437,3,0.005246486377699536
Albania,1993,2,2,10,285300,3.51,Albania1993,"1,228,071,038",437,4,0.006506618340910257
Albania,1993,1,4,10,350300,2.85,Albania1993,"1,228,071,038",437,3,0.00799046938454607
Albania,1993,2,3,7,261800,2.67,Albania1993,"1,228,071,038",437,3,0.005970149117441925
Albania,1993,2,4,7,331200,2.11,Albania1993,"1,228,071,038",437,3,0.007554445462493085
Albania,1993,2,5,2,169500,1.18,Albania1993,"1,228,071,038",437,2,0.00386308063547907
Albania,1993,2,1,1,340300,0.29,Albania1993,"1,228,071,038",437,5,0.007762184608602099
Albania,1993,1,1,1,367000,0.27,Albania1993,"1,228,071,038",437,5,0.008371704960372503
Albania,1993,2,6,0,39300,0.0,Albania1993,"1,228,071,038",437,1,0.0008908128526885646
Albania,1994,1,6,2,24600,8.13,Albania1994,"1,985,673,798",697,1,0.0005552342320509269
Albania,1994,1,5,11,171400,6.42,Albania1994,"1,985,673,798",697,2,0.003906454742908425
Albania,1994,2,6,2,39900,5.01,Albania1994,"1,985,673,798",697,1,0.0009045099392452028
Albania,1994,1,3,6,231400,2.59,Albania1994,"1,985,673,798",697,3,0.005276163398572252
Albania,1994,1,4,9,362800,2.48,Albania1994,"1,985,673,798",697,3,0.008275825354476034
Albania,1994,1,2,6,242200,2.48,Albania1994,"1,985,673,798",697,4,0.005522710956591741
Albania,1994,2,2,6,282600,2.12,Albania1994,"1,985,673,798",697,4,0.006444981451405385
Albania,1994,2,3,4,261100,1.53,Albania1994,"1,985,673,798",697,3,0.0059541691831258466
Albania,1994,2,4,2,342500,0.58,Albania1994,"1,985,673,798",697,3,0.007812407259309773
Albania,1994,2,5,1,174600,0.57,Albania1994,"1,985,673,798",697,2,0.003979505871210496
Albania,1994,1,1,1,371800,0.27,Albania1994,"1,985,673,798",697,5,0.008481281652825608
Albania,1994,2,1,0,344400,0.0,Albania1994,"1,985,673,798",697,5,0.007855781366739128
Albania,1995,1,3,13,232900,5.58,Albania1995,"2,424,499,009",835,4,0.005310406114963848
Albania,1995,1,5,9,178000,5.06,Albania1995,"2,424,499,009",835,2,0.004057122695031445
Albania,1995,2,6,2,40800,4.9,Albania1995,"2,424,499,009",835,1,0.0009250555690801603
Albania,1995,2,2,13,283500,4.59,Albania1995,"2,424,499,009",835,4,0.006465527081240342
Albania,1995,1,2,11,241200,4.56,Albania1995,"2,424,499,009",835,4,0.005499882478997344
Albania,1995,1,6,1,25100,3.98,Albania1995,"2,424,499,009",835,1,0.0005666484708481255
Albania,1995,1,4,14,375900,3.72,Albania1995,"2,424,499,009",835,3,0.008574878410962637
Albania,1995,2,3,7,264000,2.65,Albania1995,"2,424,499,009",835,4,0.006020371768149599
Albania,1995,2,4,8,356400,2.24,Albania1995,"2,424,499,009",835,3,0.008129723097871893
Albania,1995,1,1,6,376500,1.59,Albania1995,"2,424,499,009",835,5,0.008588575497519275
Albania,1995,2,5,2,180400,1.11,Albania1995,"2,424,499,009",835,2,0.004111911041257999
Albania,1995,2,1,2,348700,0.57,Albania1995,"2,424,499,009",835,5,0.007953943820395035
Albania,1996,1,6,2,25400,7.87,Albania1996,"3,314,898,292",1127,1,0.0005734970141264445
Albania,1996,1,2,17,243600,6.98,Albania1996,"3,314,898,292",1127,4,0.005554670825223897
Albania,1996,1,3,14,235300,5.95,Albania1996,"3,314,898,292",1127,4,0.005365194461190401
Albania,1996,2,2,16,287700,5.56,Albania1996,"3,314,898,292",1127,4,0.006561406687136811
Albania,1996,2,6,2,41200,4.85,Albania1996,"3,314,898,292",1127,1,0.0009341869601179191
Albania,1996,2,3,10,267900,3.73,Albania1996,"3,314,898,292",1127,4,0.006109402830767747
Albania,1996,1,4,12,379600,3.16,Albania1996,"3,314,898,292",1127,3,0.008659343778061906
Albania,1996,2,4,9,362000,2.49,Albania1996,"3,314,898,292",1127,3,0.008257562572400517
Albania,1996,1,5,3,179900,1.67,Albania1996,"3,314,898,292",1127,2,0.0041004968024608
Albania,1996,2,5,1,183100,0.55,Albania1996,"3,314,898,292",1127,2,0.004173547930762871
Albania,1996,1,1,2,380400,0.53,Albania1996,"3,314,898,292",1127,5,0.008677606560137423
Albania,1996,2,1,1,354100,0.28,Albania1996,"3,314,898,292",1127,5,0.008077217599404779
Albania,1997,1,3,36,236000,15.25,Albania1997,"2,359,903,108",793,4,0.005381174395506479
Albania,1997,1,2,33,244400,13.5,Albania1997,"2,359,903,108",793,4,0.005572933607299415
Albania,1997,1,6,3,25400,11.81,Albania1997,"2,359,903,108",793,1,0.0005734970141264445
Albania,1997,1,4,30,380800,7.88,Albania1997,"2,359,903,108",793,3,0.008686737951175182
Albania,1997,2,2,21,294000,7.14,Albania1997,"2,359,903,108",793,4,0.0067052260959815126
Albania,1997,1,5,12,180300,6.66,Albania1997,"2,359,903,108",793,2,0.004109628193498559
Albania,1997,2,3,16,273900,5.84,Albania1997,"2,359,903,108",793,4,0.00624637369633413
Albania,1997,2,6,2,42100,4.75,Albania1997,"2,359,903,108",793,1,0.0009547325899528765
Albania,1997,2,4,7,370100,1.89,Albania1997,"2,359,903,108",793,3,0.008442473240915134
Albania,1997,2,1,6,361800,1.66,Albania1997,"2,359,903,108",793,5,0.008252996876881637
Albania,1997,1,1,4,381500,1.05,Albania1997,"2,359,903,108",793,5,0.00870271788549126
Albania,1997,2,5,0,187000,0.0,Albania1997,"2,359,903,108",793,2,0.00426257899338102
Albania,1998,1,6,3,25800,11.63,Albania1998,"2,707,123,772",899,1,0.0005826284051642034
Albania,1998,1,2,27,248800,10.85,Albania1998,"2,707,123,772",899,4,0.005673378908714762
Albania,1998,2,2,32,295600,10.83,Albania1998,"2,707,123,772",899,4,0.006741751660132547
Albania,1998,1,3,26,240400,10.82,Albania1998,"2,707,123,772",899,4,0.005481619696921827
Albania,1998,1,4,29,388200,7.47,Albania1998,"2,707,123,772",899,3,0.008855668685373722
Albania,1998,1,5,9,183800,4.9,Albania1998,"2,707,123,772",899,2,0.004189527865078949
Albania,1998,2,3,10,275300,3.63,Albania1998,"2,707,123,772",899,4,0.006278333564966286
Albania,1998,2,5,6,188200,3.19,Albania1998,"2,707,123,772",899,2,0.0042899731664942965
Albania,1998,2,4,9,372100,2.42,Albania1998,"2,707,123,772",899,3,0.008488130196103928
Albania,1998,1,1,2,388400,0.51,Albania1998,"2,707,123,772",899,5,0.0088602343808926
Albania,1998,2,1,1,363800,0.27,Albania1998,"2,707,123,772",899,5,0.008298653832070431
Albania,1998,2,6,0,42300,0.0,Albania1998,"2,707,123,772",899,1,0.000959298285471756
Albania,1999,1,6,3,25900,11.58,Albania1999,"3,414,760,915",1127,1,0.0005849112529236431
Albania,1999,1,2,24,250600,9.58,Albania1999,"3,414,760,915",1127,4,0.005714470168384677
Albania,1999,2,6,4,42400,9.43,Albania1999,"3,414,760,915",1127,1,0.0009615811332311957
Albania,1999,1,4,31,391100,7.93,Albania1999,"3,414,760,915",1127,3,0.008921871270397473
Albania,1999,1,3,19,242300,7.84,Albania1999,"3,414,760,915",1127,4,0.005524993804351181
Albania,1999,1,5,14,185200,7.56,Albania1999,"3,414,760,915",1127,2,0.004221487733711105
