,year,divorce,happy,female,unem10
1,1994,0,3,0,0.0
3,1994,1,1,0,1.0
12,1994,0,3,0,0.0
13,1994,0,3,0,0.0
16,1994,0,2,1,0.0
30,1994,1,2,1,0.0
35,1994,0,1,1,0.0
38,1994,1,2,1,1.0
40,1994,0,3,1,0.0
43,1994,0,2,1,0.0
50,1994,0,2,1,0.0
55,1994,0,3,0,0.0
56,1994,1,3,0,1.0
58,1994,1,3,1,0.0
63,1994,0,2,0,0.0
69,1994,1,2,0,0.0
72,1994,0,3,0,0.0
74,1994,0,2,1,0.0
76,1994,0,1,0,0.0
84,1994,0,2,0,0.0
86,1994,0,3,1,0.0
87,1994,0,3,0,0.0
88,1994,1,3,1,0.0
89,1994,0,2,1,0.0
90,1994,0,3,1,1.0
91,1994,0,1,1,0.0
94,1994,1,2,1,0.0
95,1994,0,2,0,0.0
96,1994,0,2,1,0.0
98,1994,0,2,1,1.0
102,1994,0,3,1,0.0
105,1994,0,1,1,0.0
106,1994,0,2,1,0.0
109,1994,0,2,1,0.0
113,1994,0,2,0,1.0
115,1994,1,3,0,0.0
121,1994,0,2,1,1.0
122,1994,1,1,0,0.0
124,1994,0,2,0,0.0
126,1994,0,3,0,0.0
127,1994,1,3,0,0.0
129,1994,0,2,1,1.0
137,1994,0,2,0,1.0
138,1994,0,3,0,0.0
140,1994,0,3,1,1.0
141,1994,0,2,1,0.0
142,1994,0,2,0,0.0
143,1994,0,2,0,0.0
144,1994,0,2,1,0.0
148,1994,0,2,0,0.0
150,1994,0,2,1,0.0
152,1994,0,2,0,0.0
153,1994,0,3,0,0.0
156,1994,0,2,1,0.0
157,1994,1,3,0,0.0
158,1994,0,2,0,0.0
159,1994,0,3,1,0.0
161,1994,0,2,0,0.0
165,1994,0,2,1,0.0
166,1994,0,2,1,0.0
169,1994,1,2,1,0.0
171,1994,0,2,1,1.0
172,1994,0,3,0,0.0
177,1994,0,2,1,0.0
179,1994,0,2,0,0.0
181,1994,0,2,1,0.0
187,1994,0,3,0,0.0
188,1994,1,2,1,0.0
189,1994,1,3,0,0.0
190,1994,0,3,1,0.0
191,1994,0,2,1,0.0
194,1994,0,2,0,0.0
196,1994,0,3,0,0.0
198,1994,0,2,0,0.0
200,1994,0,3,1,0.0
201,1994,0,2,0,0.0
206,1994,1,2,0,0.0
208,1994,0,2,1,1.0
210,1994,0,2,1,0.0
212,1994,1,3,0,1.0
213,1994,0,1,0,0.0
214,1994,1,2,1,0.0
215,1994,0,2,1,0.0
216,1994,0,3,0,1.0
218,1994,0,3,1,0.0
220,1994,0,1,1,0.0
221,1994,0,2,1,0.0
222,1994,0,2,1,1.0
224,1994,0,2,1,0.0
228,1994,0,2,1,1.0
232,1994,0,3,0,0.0
233,1994,0,2,0,1.0
238,1994,1,2,1,1.0
243,1994,0,2,1,0.0
244,1994,0,2,1,0.0
246,1994,0,2,0,0.0
247,1994,0,2,1,0.0
249,1994,0,2,0,1.0
252,1994,0,1,0,1.0
256,1994,1,1,0,1.0
257,1994,0,3,1,1.0
258,1994,0,2,1,0.0
259,1994,0,2,1,0.0
260,1994,0,3,1,1.0
263,1994,0,1,0,0.0
264,1994,1,2,0,0.0
271,1994,0,2,0,0.0
275,1994,0,2,0,0.0
276,1994,0,3,1,0.0
279,1994,0,2,1,0.0
285,1994,1,2,1,0.0
286,1994,0,3,0,1.0
291,1994,0,3,1,1.0
294,1994,0,3,0,0.0
295,1994,0,3,0,1.0
296,1994,0,2,0,0.0
297,1994,0,2,0,0.0
300,1994,0,2,1,0.0
301,1994,0,2,1,0.0
303,1994,1,3,1,0.0
304,1994,0,3,0,1.0
308,1994,0,2,1,0.0
309,1994,0,2,1,0.0
311,1994,0,2,1,1.0
